CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
20.3.13.4.05.064,EL EXTRAÑO CASO DE LOS CALCETINES PERDIDOS,MARCELA LÓPEZ,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.065,EL EXTRAÑO CASO DE LOS CALCETINES PERDIDOS,MARCELA LÓPEZ,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.066,EL GATO NEGRO Y OTROS CUENTOS / EDGAR ALLAN POE SU VIDA Y OBRA,EDGAR ALLAN POE,EDICIÓN EDUCATIVA,EXCELENTE,M3A2
20.3.13.4.05.067,EL GATO NEGRO Y OTROS CUENTOS / EDGAR ALLAN POE SU VIDA Y OBRA,EDGAR ALLAN POE,EDICIÓN EDUCATIVA,EXCELENTE,M3A2
20.3.13.4.05.068,EL GATO QUE DESAPARECIÓ MISTERIOSAMENTE,ALLAN AHLBERG,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.069,EL GATO QUE DESAPARECIÓ MISTERIOSAMENTE,ALLAN AHLBERG,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.070,EL HOMBRE SIN CABEZA,RICARDO MARIÑO,EDITORIAL SANTILLANA,EXCELENTE,M3A2
20.3.13.4.05.071,EL HOMBRE SIN CABEZA,RICARDO MARIÑO,EDITORIAL SANTILLANA,EXCELENTE,M3A2
20.3.13.4.05.072,EL MÁS PEQUEÑO SE HA PERDIDO,LESTER OLIVEROS,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.073,EL MÁS PEQUEÑO SE HA PERDIDO,LESTER OLIVEROS,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.074,EL MOUNSTRO DE LOS ENREDOS,LORENA FLORES MOSCOSO,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.075,EL MOUNSTRO DE LOS ENREDOS,LORENA FLORES MOSCOSO,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.076,EL OSO QUE NO LO ERA,FRANK TASHLIN,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
